,respondentname,parentname,hmda_id,advertiser,parent,advertiser_id,score
0.0,"AMCORE MORTGAGE, INC.","AMCORE MORTGAGE, INC.",100-1-00-1196704,Aramco Financial,Aramco Mortgage Inc,100997.0,84.64949080682152
1.0,SOUTHEASTERN MORTGAGE OF TN,SOUTHEASTERN MORTGAGE OF TN,100-2-00-2000006,Southeastern Mortgage,SOUTHEASTERN MORTGAGE,25011.0,93.12136470902482
2.0,FIRST UNION NATIONAL BANK,FIRST UNION NATIONAL BANK,10000-0000000001,First National Bank & Trust Co Of Newtown,First National Bank,1573.0,84.46166773401382
3.0,"BANK ONE, NA","BANK ONE, NA",10000-0000000008,Bank Of NE,Bank Of NE,488.0,90.28896713677575
4.0,"FIRSTAR BANK, N.A.","FIRSTAR BANK, N.A.",10000-0000000024,First Bank Na,First Bank Na,102990.0,87.92929958086933
5.0,"PREMIER NATIONAL BANCORP, INC.","PREMIER NATIONAL BANCORP, INC.",10000-0000000035,Prime National Credit Repair,Prime National Inc,109228.0,86.63214906687648
6.0,"BANK OF LANCASTER COUNTY, N.A.","BANK OF LANCASTER COUNTY, N.A.",10000-0000000042,,,,
7.0,THE FIRST NATIONAL BANK OF MCC,THE FIRST NATIONAL BANK OF MCC,10000-0000000046,First National Bank Of MI,First National Bank Of MI,171409.0,92.56754499020249
8.0,TERRE HAUTE FIRST NATIONAL BAN,TERRE HAUTE FIRST NATIONAL BAN,10000-0000000047,,,,
9.0,FIRST SOUTHWESTERN,FIRST SOUTHWESTERN,10000-0000000056,Logic,FirstSouthwest,159638.0,85.04698246348953
10.0,FIRST NAT'L BANK GERMANTOWN,FIRST NAT'L BANK GERMANTOWN,10000-0000000086,,,,
11.0,FIRST NATIONAL BANK OF HUDSON,FIRST NATIONAL BANK OF HUDSON,10000-0000000095,First National Bank & Trust Co Of Newtown,First National Bank,1573.0,84.78006774914611
12.0,"NATIONAL CITY BANK, KENTUCKY","NATIONAL CITY BANK, KENTUCKY",10000-0000000109,Accubanc Mortgage Corp,NATIONAL CITY BANK OF IN,2682.0,83.10289462847287
13.0,IST NATIONAL BANK OF W.CHESTER,IST NATIONAL BANK OF W.CHESTER,10000-0000000148,,,,
14.0,FIRST NATIONAL BANK,FIRST NATIONAL BANK,10000-0000000164,First National Bank & Trust Co Of Newtown,First National Bank,1573.0,100.0
15.0,"COMMERCE BANK, N.A.","COMMERCE BANK, N.A.",10000-0000000176,Commerce Bank,Commerce Bank,983.0,100.0
17.0,"NATIONAL CITY BANK, MICH/ILL","NATIONAL CITY BANK, MICH/ILL",10000-0000000191,Accubanc Mortgage Corp,NATIONAL CITY BANK OF IN,2682.0,84.70543952671345
18.0,FLEET NATIONAL BANK,FLEET NATIONAL BANK,10000-0000000200,EH National Bank,EH National Bank,170889.0,80.18582938220241
