,respondentname,hmda_id,advertiser_name,advertiser_id,match_index,score
0,"AMCORE MORTGAGE, INC.",100-1-00-1196704,,,,
1,SOUTHEASTERN MORTGAGE OF TN,100-2-00-2000006,,,,
2,FIRST UNION NATIONAL BANK,10000-0000000001,,,,
3,"BANK ONE, NA",10000-0000000008,,,,
4,"FIRSTAR BANK, N.A.",10000-0000000024,,,,
5,"PREMIER NATIONAL BANCORP, INC.",10000-0000000035,First Premier Bank,457.0,100.0,100.0
6,"BANK OF LANCASTER COUNTY, N.A.",10000-0000000042,,,,
7,THE FIRST NATIONAL BANK OF MCC,10000-0000000046,,,,
8,TERRE HAUTE FIRST NATIONAL BAN,10000-0000000047,,,,
9,FIRST SOUTHWESTERN,10000-0000000056,Southwest Bank,1048.0,152.0,82.60912371957905
10,FIRST NAT'L BANK GERMANTOWN,10000-0000000086,,,,
11,FIRST NATIONAL BANK OF HUDSON,10000-0000000095,,,,
12,"NATIONAL CITY BANK, KENTUCKY",10000-0000000109,,,,
13,IST NATIONAL BANK OF W.CHESTER,10000-0000000148,,,,
14,FIRST NATIONAL BANK,10000-0000000164,,,,
15,"COMMERCE BANK, N.A.",10000-0000000176,Bank Of Commerce,143.0,94.0,100.0
16,"NATIONAL CITY BANK, MICH/ILL",10000-0000000191,,,,
17,FLEET NATIONAL BANK,10000-0000000200,,,,
18,FIRST NATIONAL BANK OF OMAHA,10000-0000000209,,,,
19,FIRST NATIONAL BANK OF PENNSYL,10000-0000000249,,,,
20,ADAMS COUNTY NATIONAL BANK,10000-0000000311,,,,
21,FIRST NATIONAL BANK & TRUST CO,10000-0000000324,National Bank & Trust Co,809.0,20.0,100.0
22,"FNB BANK, N.A.",10000-0000000325,FNB Corp,404.0,7.0,100.0
23,FIRST TENNESSEE BANK N.A.,10000-0000000336,,,,
24,CAYUGA LAKE NATIONAL BANK,10000-0000000412,,,,
25,"UNITED BANK, N.A.",10000-0000000443,,,,
26,FIRST NATL BANK OF SUFFIELD,10000-0000000497,,,,
27,GRUNDY COUNTY NATIONAL BANK,10000-0000000531,,,,
28,FIRST NATIONAL BANK OF BERWICK,10000-0000000568,,,,
29,THE HONESDALE NATIONAL BANK,10000-0000000644,Honesdale National Bank,605.0,9.0,100.0
30,DOWNINGTOWN NATIONAL BANK,10000-0000000661,,,,
31,NATIONAL GRAND BANK,10000-0000000676,,,,
32,1ST NATIONAL BK OF LITCHFIELD,10000-0000000709,,,,
33,NATIONAL CITY BANK,10000-0000000786,City National Bank,272.0,31.0,100.0
34,WAYNE COUNTY NATIONAL BANK,10000-0000000828,,,,
35,THE CITIZENS NATIONAL BANK,10000-0000000863,Citizens First National Bank,267.0,22.0,100.0
36,THE MILFORD NATIONAL BANK,10000-0000000866,,,,
37,"NATIONAL CITY BANK, INDIANA",10000-0000000869,,,,
38,CHAMPAIGN NATIONAL BANK AND TR,10000-0000000916,,,,
39,"STATE FINANCIAL BANK, NA",10000-0000000945,GTE Financial,506.0,424.0,81.13334890097494
40,BEVERLY NATIONAL BANK,10000-0000000969,,,,
41,PUTNAM COUNTY NATIONAL BANK,10000-0000000976,,,,
42,STISSING NATIONAL BANK OF PINE,10000-0000000981,,,,
43,FIRST & OCEAN NATIONAL BANK,10000-0000001011,Ocean Bank,861.0,275.0,100.0
44,THE LYONS NATIONAL BANK,10000-0000001027,Lyons National Bank,707.0,11.0,100.0
45,FIRST NATIONAL BANK OF GROTON,10000-0000001083,,,,
46,"ALLIANCE BANK, N.A.",10000-0000001090,Alliance Bank NA,61.0,12.0,100.0
47,CENTRAL NATIONAL BANK,10000-0000001122,Central National Bank,244.0,13.0,100.0
48,ROCKPORT NATIONAL BANK,10000-0000001194,,,,
49,VISTA BANK NA,10000-0000001239,,,,
