,respondentname,hmda_id,advertiser,advertiser_id,score
0,"AMCORE MORTGAGE, INC.",100-1-00-1196704,Aramco Financial,100997,84.64949081
1,SOUTHEASTERN MORTGAGE OF TN,100-2-00-2000006,Southeastern Mortgage,25011,93.12136471
2,FIRST UNION NATIONAL BANK,10000-0000000001,First National Bank & Trust Co Of Newtown,1573,84.46166773
3,"BANK ONE, NA",10000-0000000008,Bank Of NE,488,90.28896714
4,"FIRSTAR BANK, N.A.",10000-0000000024,First Bank Na,102990,87.92929958
5,"PREMIER NATIONAL BANCORP, INC.",10000-0000000035,Prime National Credit Repair,109228,86.63214907
6,"BANK OF LANCASTER COUNTY, N.A.",10000-0000000042,,,
7,THE FIRST NATIONAL BANK OF MCC,10000-0000000046,First National Bank Of MI,171409,92.56754499
8,TERRE HAUTE FIRST NATIONAL BAN,10000-0000000047,,,
9,FIRST SOUTHWESTERN,10000-0000000056,Logic,159638,85.04698246
10,FIRST NAT'L BANK GERMANTOWN,10000-0000000086,,,
11,FIRST NATIONAL BANK OF HUDSON,10000-0000000095,First National Bank & Trust Co Of Newtown,1573,84.78006775
12,"NATIONAL CITY BANK, KENTUCKY",10000-0000000109,Accubanc Mortgage Corp,2682,83.10289463
13,IST NATIONAL BANK OF W.CHESTER,10000-0000000148,,,
14,FIRST NATIONAL BANK,10000-0000000164,First National Bank & Trust Co Of Newtown,1573,100
15,"COMMERCE BANK, N.A.",10000-0000000176,Commerce Bank,983,100
17,"NATIONAL CITY BANK, MICH/ILL",10000-0000000191,Accubanc Mortgage Corp,2682,84.70543953
18,FLEET NATIONAL BANK,10000-0000000200,EH National Bank,170889,80.18582938
19,FIRST NATIONAL BANK OF OMAHA,10000-0000000209,First National Bank Of AK,46088,86.94500604
20,FIRST NATIONAL BANK OF PENNSYL,10000-0000000249,First National Bank Of Nevada,45868,85.97275847
21,ADAMS COUNTY NATIONAL BANK,10000-0000000311,County National Bank,18332,81.30503433
