,lender_name,lender_id,advertiser_name,advertiser_id,match_index,score
0,WACHOVIA BANK,1-0000000001,,,,
1,"JP MORGAN CHASE BANK, NA",1-0000000008,JP Morgan Chase & Co,643.0,1.0,100.0
2,"US BANK, N.A.",1-0000000024,US Bancorp,1130.0,2.0,100.0
3,FIRST FINANCIAL BANK,1-0000000047,First Financial Bank,444.0,3.0,100.0
4,National City Bank of the Midw,1-0000000191,NATIONAL CITY BANK OF IN,797.0,10.0,89.70759739691397
5,FLEET NATIONAL BANK,1-0000000200,,,,
6,FIRST NATIONAL BANK OF OMAHA,1-0000000209,FIRST NATIONAL BANK OF AZ,398.0,1004.0,85.51773766408178
7,"FNB BANK, N.A.",1-0000000325,FNB Corp,404.0,7.0,100.0
8,FIRST TENNESSEE BANK NA,1-0000000336,,,,
9,THE HONESDALE NATIONAL BANK,1-0000000644,Honesdale National Bank,605.0,9.0,100.0
10,NATIONAL CITY BANK,1-0000000786,NATIONAL CITY BANK OF IN,797.0,10.0,80.48061605952239
11,"National City Bank, Indiana",1-0000000869,NATIONAL CITY BANK OF IN,797.0,10.0,80.76000575260987
12,ALLIANCE BANK NA,1-0000001090,Alliance Bank NA,61.0,12.0,100.0
13,BALLSTON SPA NATIONAL BANK,1-0000001253,Ballston Spa National Bank,130.0,14.0,100.0
14,PNC BANK NA,1-0000001316,,,,
15,"NBT BANK, NA",1-0000001354,NBT Bancorp Inc,800.0,15.0,100.0
16,"CITIBANK, NA",1-0000001461,,,,
17,FIRST NATIONAL BANK AND TRUST,1-0000001467,,,,
18,FIRST SOUTHERN NATIONAL BANK,1-0000001493,First Southern National Bank,465.0,19.0,100.0
19,"WELLS FARGO BANK, NA",1-0000001741,Wells Fargo & Co,1202.0,0.0,100.0
20,NATIONAL BANK & TRUST COMPANY,1-0000001997,National Bank & Trust Co,809.0,20.0,100.0
21,LEBANON CITIZENS NATIONAL BANK,1-0000002360,,,,
22,CITIZENS FIRST NATIONAL BANK,1-0000002413,Citizens First National Bank,267.0,22.0,100.0
23,INTRUST BANK N. A.,1-0000002782,Intrust Bank Na,638.0,23.0,100.0
24,"CITIZENS BANK, N.A.",1-0000003175,Citizens Bank,264.0,24.0,100.0
25,FARMERS NATIONAL BANK,1-0000003654,Farmers National Bank,417.0,25.0,100.0
26,NATIONAL BANK OF COMMERCE,1-0000003656,,,,
27,THE CANANDAIGUA NATIONAL BANK,1-0000003817,Canandaigua National Corp,225.0,27.0,100.0
28,FIRST NATIONAL BANK OF ABILENE,1-0000004166,FIRST NATIONAL BANK OF AZ,398.0,1004.0,83.9000931463914
29,CENTRAL NATIONAL BANK,1-0000004284,Central National Bank,244.0,13.0,100.0
30,ZIONS FIRST NATIONAL BANK,1-0000004341,Simmons First National Corp,1028.0,36.0,85.50382608651793
31,MIDLAND NATIONAL BANK,1-0000004860,Midland National Bank,777.0,29.0,100.0
32,FIRST NATIONAL BANK-MANITOWOC,1-0000004975,,,,
33,CITY NATIONAL BANK OF TAYLOR,1-0000005275,,,,
34,"PEOPLES BANK, NATIONAL ASSOCIA",1-0000005552,,,,
35,THE MARS NATIONAL BANK,1-0000005599,Mars National Bank,738.0,33.0,100.0
36,FIRST NATIONAL BANK TEXAS,1-0000005750,First National Bank TX,451.0,34.0,91.0376626253699
37,MELLON BANK N.A.,1-0000006301,,,,
38,SIMMONS FIRST NATIONAL BANK,1-0000006680,Simmons First National Corp,1028.0,36.0,100.0
39,PEOPLES NATIONAL BANK,1-0000007702,,,,
40,THE HUNTINGTON NATIONAL BANK,1-0000007745,,,,
41,OLD NATIONAL BANK,1-0000008846,Old National Bancorp,865.0,40.0,100.0
42,FIRST NATIONAL COMMUNITY BANK,1-0000009868,First National Community Bancorp,452.0,41.0,100.0
43,TRUSTMARK NATIONAL BANK,1-0000010523,,,,
44,EVANS NATIONAL BANK,1-0000011583,,,,
45,UNION CENTER NATIONAL BANK,1-0000012425,Union Center National Bank,1139.0,44.0,100.0
46,"BANK OF AMERICA, N.A.",1-0000013044,Bank Of America Corp,141.0,5.0,100.0
47,THE FIRST NATIONAL BANK OF LI,1-0000013126,FIRST NATIONAL BANK OF AZ,398.0,1004.0,89.12155686958756
48,UNION PLANTERS BANK,1-0000013349,,,,
49,LINCOLN NATIONAL BANK,1-0000013479,,,,
50,"BANK OF OKLAHOMA, NA",1-0000013679,,,,
51,HIBERNIA NATIONAL BANK,1-0000013688,,,,
52,EXTRACO BANKS NA,1-0000013778,,,,
53,COUNTY NATIONAL BANK,1-0000013998,County National Bank,312.0,52.0,100.0
54,AMARILLO NATIONAL BANK,1-0000014206,Amarillo National Bank,70.0,53.0,100.0
55,LORAIN NATONAL BANK,1-0000014290,Lorain National Bank,704.0,54.0,95.80338912685825
56,LASALLE BANK NA,1-0000014362,,,,
57,FIRST NATIONAL BANK OF SCOTIA,1-0000014680,1st National Bank Of Scotia,7.0,56.0,87.73325875819863
58,CITY NATIONAL BANK,1-0000014695,City National Bank,272.0,31.0,100.0
59,KEYBANK NATIONAL ASSOCIATION,1-0000014761,,,,
60,EASTERN NATIONAL BANK,1-0000015748,Eastern National,368.0,59.0,100.0
61,VALLEY NATIONAL BANK,1-0000015790,Valley National Bancorp,1169.0,60.0,100.0
62,THUMB NATIONAL MORTGAGE LLC,1-0000015817,,,,
63,FAR EAST NATIONAL BANK,1-0000016407,Far East National Bank,415.0,62.0,100.0
