RECORD_ID,ANALYSIS_DATE_TIME,SECURITY_NAME,SYMBOL,ITEM_INTERVAL,DIRECTION,STATUS,PL_RISK,BARS_TO_EXIT,STOP_LOSS_EXIT,CURRENT_DATE_TIME,CURRENT_PRICE,COST,PL,RISK,FILL_DATE_TIME,FILL_PRICE,TRADE_SPAN_BARS,EXIT_DATE_TIME,EXIT_PRICE,PATTERN_TYPE,DEGREE,RATING,MAX_PL_RISK,MIN_PL_RISK,HIDDEN_WAVES,SWING_POINTS_DISPLAY,SWING_POINTS_PATTERN,SWING_POINTS_RANGE,POWERPACK,MIN_RATING,PATTERN_FILTER,EXPECTED_TARGET_ACCURACY,EXPECTED_RANDOM_TARGET_ACCURACY,EXPECTED_BULLSEYE_ACCURACY,EXPECTED_RANDOM_BULLSEYE_ACCURACY,W1_START_POS,W1_START_DATE_TIME,W1_START_PRICE,W1_LENGTH_BARS,W1_SUB_PATTERN,W1_SWING_POINTS,W2_START_DATE_TIME,W2_START_PRICE,W2_START_PRICE_HIT,W2_LENGTH_BARS,W2_SUB_PATTERN,W2_SWING_POINTS,W2_FAILURE,W2_END_PRICE,W2_EXTREME_PRICE,W2_EXTREME_PRICE_HIT,W2_W1_PRICE,W2_W1_TIME,W3_START_DATE_TIME,W3_START_PRICE,W3_START_PRICE_HIT,W3_PRICE_AT_ANALYSIS,W3_LENGTH_BARS_AT_ANALYSIS,W3_LABEL,W3_SUB_PATTERN,W3_SWING_POINTS,W3_W1_PRICE_AT_ANALYSIS,W3_W2_PRICE_AT_ANALYSIS,BARS_TO_TARGET_START,BARS_TO_BULLSEYE_START,BULLSEYE_START_HIT,BARS_TO_BULLSEYE_END,BARS_TO_TARGET_END,TARGET_AREA_NEAR_PRICE,TARGET_AREA_NEAR_RATIO,TARGET_AREA_NEAR_HIT,BULLSEYE_AREA_NEAR,BULLSEYE_AREA_NEAR_RATIO,BULLSEYE_AREA_NEAR_HIT,BULLSEYE_MID_PRICE,BULLSEYE_MID_RATIO,BULLSEYE_MID_HIT,BULLSEYE_MID_AVE_PRICE,BULLSEYE_MID_AVE_RATIO,BULLSEYE_MID_AVE_HIT,BULLSEYE_AREA_FAR_PRICE,BULLSEYE_AREA_FAR_RATIO,BULLSEYE_AREA_FAR_HIT,TARGET_AREA_FAR,TARGET_AREA_FAR_RATIO,TARGET_AREA_FAR_HIT,FIRST_LOAD_DATE_TIME,FIRST_LOAD_DATE_AT_ANALYSIS,BARS_LOADED,BARS_DISPLAYED,SCAN_PATTERN,SCAN_WAVE_NUMBER,SCANNER_LARGE_FILTER,SCANNER_MIN_RATING,SCANNER_HIDDEN_WAVES,SCANNER_MIN_BARS,SCANNER_MAX_GAP,SCANNER_DIRECTION,SCANNER_EXCLUDE_IN_PRICE_TARGET,SCANNER_EXCLUDE_IN_TIME_TARGET,SCANNER_BULLSEYE_ONLY,PERF_FILTER_MIN_RATING_LARGEST_DEGREE,PERF_FILTER_STOP_LOSS_POSITION,PERF_FILTER_MIN_W2_W1_PRICE,PERF_FILTER_MAX_W2_W1_PRICE,PERF_FILTER_MIN_W2_W1_TIME,PERF_FILTER_MAX_W2_W1,PERF_FILTER_MIN_BARS_BEFORE_TARGET,PL_RISK_PER_BAR,CREATED_WITH_AUTO_TRADER,CREATED_IN_SIMPLE_MODE,SCREEN_SHOT_PATH_INITIAL,SCREEN_SHOT_PATH_CURRENT,SCREEN_SHOT_FINAL,DATETIME_RECORD_CREATED,BULLSEYE_END_DATE,MAE,MFE,PURE_DUPE_ID,IS_ACTIVE,DEACTIVE_DATETIME,MANUAL_INACTIVE,W1W2_ONLY_DUPE,CHAINED_1_LOWER_DEGREE_ID,CHAINED_1_HIGHER_DEGREE_ID,TARGET_DATETIME,IS_ACTIVE_OVER_W3PIVOT,DEGREE_NUMBER,HIT_TARGET,HIT_W1START_STOP,HIT_TIMESTOP,CQG,SOURCE,FINAL_PRICE,NET_PL,ACTIVE_DATETIME,PATTERN,CAT,INTERVAL_MIN,CREATED_DATE_TIME,USD_NET_PL,FINAL_NET_PL,TARGET_END_DATE,HIT_TARGET_DATETIME,HIT_W1START_STOP_DATETIME,CURRENT_PRICE_DATETIME,PTR_RECORD_ID,UPDATE_PRICE,DF_DATA_AVAILABLE,timeframe,DIVIDER,VBT_HIT_TARGET,VBT_HIT_TARGET_DATETIME,W1_START_FROM_PREVIOUS_TARGET,W1_START_FROM_PREVIOUS_TARGET_PTR,DEGREE_DIFF_TO_PTR
1994372,2024-06-06 01:10:00-04:00,@YM#_5,@YM#_5,Minutes,Short,Pending,,77,,2024-06-06 01:10:00-04:00,38864,0,,14.52,,,,,,Zigzag,4 - Minute,125.64,,,1,37,5,Jul-90,General (Forex/Futures),90,ZigZag (ZZ),79.7,47.5,39.5,16.6,316,2024-06-05 18:10:00-04:00,38908,50,,1,2024-06-05 22:20:00-04:00,38854,,28,Flat,3,1,38871,38880,,31,56,2024-06-06 00:40:00-04:00,38871,,38864,6,C,,1,13,41.2,8,27,,77,264,38856.42,0.52,,38844.84,1.32,,38822.82,2.84,,38826.54,2.58,,38808.24,3.84,,38783.96,5.51,,2024-06-04 14:55:00-04:00,2024-06-05 04:30:00-04:00,400,400,Impulse or Zigzag,3,ZigZag,90,1,15,15,Long and Short,0,0,1,,,,,,,,,1,0,..\Charts\_YM#_5 240606 05.10.54 125.6A2.bmp,..\Charts\_YM#_5 240606 05.10.54 125.6A2.bmp,,2024-06-06 01:10:00-04:00,2024-06-06 07:35:00-04:00,,,0,,,,,,,,,4,,,,YM,A4,,,,,IND,5,2024-06-06 01:13:00-04:00,,,2024-06-06 23:10:00-04:00,,,,,,,5m,|,1,2024-06-06 04:20:00-04:00,1,1979122,0
1994500,2024-06-06 01:19:00-04:00,@NQ#_1,@NQ#_1,Minutes,Short,Pending,,61,,2024-06-06 01:19:00-04:00,19096.75,0,,3.96,,,,,,Impulse,3 - Minuette,145.57,,,1,23,5,Jul-90,General (Forex/Futures),90,ZigZag (ZZ),0,0,0,0,350,2024-06-06 00:29:00-04:00,19108.75,21,,1,2024-06-06 00:50:00-04:00,19089.25,,27,Double 3,3,0,19103,19103,,71,129,2024-06-06 01:17:00-04:00,19103,,19096.75,2,3,,1,32.1,45.5,3,18,,61,145,19084.57,3.08,,19082.01,3.72,,19062.94,8.54,,19072.47,6.13,,19062.93,8.54,,19005.69,22.99,,2024-06-05 18:40:00-04:00,2024-06-05 19:09:00-04:00,400,400,Impulse or Zigzag,3,ZigZag,90,1,15,15,Long and Short,0,0,1,,,,,,,,,1,0,..\Charts\_NQ#_1 240606 05.19.17 143.9A2.bmp,..\Charts\_NQ#_1 240606 05.19.17 143.9A2.bmp,,2024-06-06 01:19:00-04:00,2024-06-06 02:20:00-04:00,19099.5,19072.5,0,0,6/6/2024 6:20,,,2089852,1993754,,,3,1,,,NQ,A1,19082.01,14.74,6/6/2024 5:58,Chained_1,IND,1,2024-06-06 01:20:00-04:00,294.8,1,2024-06-06 03:44:00-04:00,7/12/2024 7:56,,2024-07-12 03:56:00-04:00,,,1,1m,|,1,2024-06-06 01:38:00-04:00,1,1658519,1
2088832,2024-06-06 02:26:00-04:00,@YM#_1,@YM#_1,Minutes,Short,Pending,,369,,2024-06-06 02:26:00-04:00,38855,0,,15.84,,,,,,Zigzag,4 - Minute,110.03,,,1,11,9,Jul-90,General (Forex/Futures),90,ZigZag (ZZ),58.6,47.5,33.2,16.6,5,2024-06-05 19:50:00-04:00,38903,258,,3,2024-06-06 00:09:00-04:00,38835,,113,Zigzag,5,0,38879,38879,,65,44,2024-06-06 02:02:00-04:00,38879,,38855,24,C,,1,35.3,54.5,44,138,,369,1068,38843.36,0.73,,38809.03,2.9,,38809.09,2.9,,38789.62,4.13,,38770.21,5.35,,38653.72,12.71,,2024-06-05 19:46:00-04:00,2024-06-05 19:46:00-04:00,400,400,Impulse or Zigzag,3,ZigZag,90,1,15,15,Long and Short,0,0,1,,,,,,,,,1,0,..\Charts\_YM#_1 240606 06.26.06 110.0A2.bmp,..\Charts\_YM#_1 240606 06.26.06 110.0A2.bmp,,2024-06-06 02:26:00-04:00,2024-06-06 08:35:00-04:00,,,0,,,,,,,,,4,,,,YM,A2,,,,,IND,1,2024-06-06 03:05:00-04:00,,,2024-06-06 20:14:00-04:00,,,,,,,1m,|,0,,1,1979122,0
2088990,2024-06-06 02:30:00-04:00,@YM#_5,@YM#_5,Minutes,Short,Pending,,91,,2024-06-06 02:30:00-04:00,38860,0,,15.84,,,,,,Zigzag,4 - Minute,125.72,,,1,39,7,Jul-90,General (Forex/Futures),90,ZigZag (ZZ),79.7,47.5,39.5,16.6,300,2024-06-05 18:10:00-04:00,38908,72,,3,2024-06-06 00:10:00-04:00,38835,,23,Zigzag,3,0,38879,38879,,60,32,2024-06-06 02:05:00-04:00,38879,,38860,5,C,,1,26,43.2,14,36,,91,217,38843.36,1.05,,38809.07,3.22,,38809.09,3.21,,38789.65,4.44,,38770.23,5.67,,38653.72,13.02,,2024-06-04 16:15:00-04:00,2024-06-05 04:30:00-04:00,400,400,Impulse or Zigzag,3,ZigZag,90,1,15,15,Long and Short,0,0,1,,,,,,,,,1,0,..\Charts\_YM#_5 240606 06.30.59 125.7A2.bmp,..\Charts\_YM#_5 240606 06.30.59 125.7A2.bmp,,2024-06-06 02:30:00-04:00,2024-06-06 10:05:00-04:00,,,0,,,,,,,,,4,,,,YM,A4,,,,,IND,5,2024-06-06 03:06:00-04:00,,,2024-06-06 20:35:00-04:00,,,,,,,5m,|,0,,1,1979122,0
2089041,2024-06-06 02:35:00-04:00,@NQ#_1,@NQ#_1,Minutes,Long,Pending,,52,,2024-06-06 02:35:00-04:00,19091.75,0,,6.3525,,,,,,Zigzag,2 - Subminuette,117.41,,,1,10,3,Jul-90,General (Forex/Futures),90,ZigZag (ZZ),58.6,47.5,33.2,16.6,349,2024-06-06 01:44:00-04:00,19072.5,27,,1,2024-06-06 02:11:00-04:00,19094.75,,18,,1,0,19083.5,19083.5,,51,67,2024-06-06 02:29:00-04:00,19083.5,,19091.75,6,C,,1,37.1,73.3,1,15,,52,172,19092.72,0.15,,19095.97,0.66,,19111.86,3.17,,19107.075,2.41,,19118.18,4.16,,19141.21,7.79,,2024-06-05 19:56:00-04:00,2024-06-06 00:08:00-04:00,400,400,Impulse or Zigzag,3,ZigZag,90,1,15,15,Long and Short,0,0,1,,,,,,,,,1,0,..\Charts\_NQ#_1 240606 06.35.11 096.8A2.bmp,..\Charts\_NQ#_1 240606 06.35.11 096.8A2.bmp,,2024-06-06 02:35:00-04:00,2024-06-06 03:27:00-04:00,,,0,,,,,,,,,2,,,,NQ,A1,,,,,IND,1,2024-06-06 03:06:00-04:00,,,2024-06-06 05:27:00-04:00,,,,,,,1m,|,1,2024-06-06 02:38:00-04:00,1,1994500,-1
2089194,2024-06-06 02:40:00-04:00,@YM#_1,@YM#_1,Minutes,Short,Pending,,345,,2024-06-06 02:40:00-04:00,38866,0,,9.24,,,,,,Zigzag,4 - Minute,107.79,,,1,11,9,Jul-90,General (Forex/Futures),90,ZigZag (ZZ),57.5,44.5,37.1,15.4,2,2024-06-05 20:01:00-04:00,38894,247,,3,2024-06-06 00:09:00-04:00,38835,,113,Zigzag,5,0,38879,38879,,75,46,2024-06-06 02:02:00-04:00,38879,,38866,38,C,,1,22,29.5,27,118,,345,1054,38843.36,2.45,,38838.44,2.98,,38799.65,7.18,,38819.025,5.08,,38799.61,7.19,,38683.12,19.79,,2024-06-05 20:00:00-04:00,2024-06-05 20:00:00-04:00,400,400,Impulse or Zigzag,3,ZigZag,90,1,15,15,Long and Short,0,0,1,,,,,,,,,1,0,..\Charts\_YM#_1 240606 06.40.07 107.8A2.bmp,..\Charts\_YM#_1 240606 06.40.07 107.8A2.bmp,,2024-06-06 02:40:00-04:00,2024-06-06 08:25:00-04:00,,,0,,,,,,,,,4,,,,YM,A2,,,,,IND,1,2024-06-06 03:07:00-04:00,,,2024-06-06 20:14:00-04:00,,,,,,,1m,|,1,2024-06-06 04:17:00-04:00,1,1979122,0
2089197,2024-06-06 02:42:00-04:00,@YM#_1,@YM#_1,Minutes,Short,Pending,,340,,2024-06-06 02:42:00-04:00,38865,0,,9.24,,,,,,Zigzag,4 - Minute,107.41,,,1,11,9,Jul-90,General (Forex/Futures),90,ZigZag (ZZ),57.5,44.5,37.1,15.4,3,2024-06-05 20:04:00-04:00,38893,244,,3,2024-06-06 00:09:00-04:00,38835,,113,Zigzag,5,0,38879,38879,,76,46,2024-06-06 02:02:00-04:00,38879,,38865,40,C,,1,24.1,31.8,24,114,,340,1052,38843.36,2.34,,38831.92,3.58,,38802.97,6.71,,38802.45,6.77,,38772.98,9.96,,38686.44,19.32,,2024-06-05 20:02:00-04:00,2024-06-05 20:02:00-04:00,400,400,Impulse or Zigzag,3,ZigZag,90,1,15,15,Long and Short,0,0,1,,,,,,,,,1,0,..\Charts\_YM#_1 240606 06.42.07 107.4A2.bmp,..\Charts\_YM#_1 240606 06.42.07 107.4A2.bmp,,2024-06-06 02:42:00-04:00,2024-06-06 08:22:00-04:00,,,0,,,,,,,,,4,,,,YM,A2,,,,,IND,1,2024-06-06 03:07:00-04:00,,,2024-06-06 20:14:00-04:00,,,,,,,1m,|,1,2024-06-06 04:37:00-04:00,1,1979122,0
2089251,2024-06-06 02:47:00-04:00,@YM#_1,@YM#_1,Minutes,Short,Pending,,327,,2024-06-06 02:47:00-04:00,38860,0,,10.56,,,,,,Zigzag,4 - Minute,106.99,,,1,11,9,Jul-90,General (Forex/Futures),90,ZigZag (ZZ),57.5,44.5,37.1,15.4,6,2024-06-05 20:12:00-04:00,38892,236,,3,2024-06-06 00:09:00-04:00,38835,,113,Zigzag,5,0,38879,38879,,77,48,2024-06-06 02:02:00-04:00,38879,,38860,45,C,,1,33.3,43.2,17,105,,327,1047,38843.36,1.58,,38806.25,5.09,,38806.29,5.09,,38786.835,6.93,,38767.42,8.77,,38689.76,16.12,,2024-06-05 20:07:00-04:00,2024-06-05 20:07:00-04:00,400,400,Impulse or Zigzag,3,ZigZag,90,1,15,15,Long and Short,0,0,1,,,,,,,,,1,0,..\Charts\_YM#_1 240606 06.47.08 107.0A2.bmp,..\Charts\_YM#_1 240606 06.47.08 107.0A2.bmp,,2024-06-06 02:47:00-04:00,2024-06-06 08:14:00-04:00,,,0,,,,,,,,,4,,,,YM,A2,,,,,IND,1,2024-06-06 03:07:00-04:00,,,2024-06-06 20:14:00-04:00,,,,,,,1m,|,0,,1,1979122,0
2089341,2024-06-06 02:49:00-04:00,@NQ#_1,@NQ#_1,Minutes,Short,Pending,,127,,2024-06-06 02:49:00-04:00,19085.25,0,,7.755,,,,,,Zigzag,3 - Minuette,98.56,,,1,11,7,Jul-90,General (Forex/Futures),90,ZigZag (ZZ),67.1,42,39.4,13.7,260,2024-06-06 00:29:00-04:00,19108.75,75,,3,2024-06-06 01:44:00-04:00,19072.5,,54,Zigzag,3,0,19097,19097,,68,72,2024-06-06 02:38:00-04:00,19097,,19085.25,11,C,,1,32.4,48,9,43,,127,511,19077.15,1.04,,19071.99,1.71,,19052.96,4.16,,19052.92,4.17,,19033.85,6.63,,18976.65,14,,2024-06-05 20:10:00-04:00,2024-06-06 00:08:00-04:00,400,400,Impulse or Zigzag,3,ZigZag,90,1,15,15,Long and Short,0,0,1,,,,,,,,,1,0,..\Charts\_NQ#_1 240606 06.49.11 098.6A2.bmp,..\Charts\_NQ#_1 240606 06.49.11 098.6A2.bmp,,2024-06-06 02:49:00-04:00,2024-06-06 04:56:00-04:00,,,0,,,,,,,,,3,,,,NQ,A1,,,,,IND,1,2024-06-06 03:08:00-04:00,,,2024-06-06 11:20:00-04:00,,,,,,,1m,|,1,2024-06-06 04:40:00-04:00,1,1658519,1
2089392,2024-06-06 02:53:00-04:00,@YM#_1,@YM#_1,Minutes,Short,Pending,,318,,2024-06-06 02:53:00-04:00,38860,0,,9.57,,,,,,Zigzag,4 - Minute,106.01,,,1,11,9,Jul-90,General (Forex/Futures),90,ZigZag (ZZ),57.5,44.5,37.1,15.4,2,2024-06-05 20:14:00-04:00,38889,234,,3,2024-06-06 00:09:00-04:00,38835,,113,Zigzag,5,0,38879,38879,,81,48,2024-06-06 02:02:00-04:00,38879,,38860,51,C,,1,35.2,43.2,10,98,,318,1041,38843.36,1.74,,38816.21,4.58,,38816.25,4.57,,38796.795,6.6,,38777.38,8.63,,38699.72,16.75,,2024-06-05 20:13:00-04:00,2024-06-05 20:13:00-04:00,400,400,Impulse or Zigzag,3,ZigZag,90,1,15,15,Long and Short,0,0,1,,,,,,,,,1,0,..\Charts\_YM#_1 240606 06.53.08 106.0A2.bmp,..\Charts\_YM#_1 240606 06.53.08 106.0A2.bmp,,2024-06-06 02:53:00-04:00,2024-06-06 08:11:00-04:00,,,0,,,,,,,,,4,,,,YM,A2,,,,,IND,1,2024-06-06 03:08:00-04:00,,,2024-06-06 20:14:00-04:00,,,,,,,1m,|,1,2024-06-06 05:34:00-04:00,1,1979122,0
