year,advertiser_id,advertiser_name
2000,1202,Wells Fargo & Co
2000,643,JP Morgan Chase & Co
2000,1130,US Bancorp
2000,444,First Financial Bank
2000,455,First Of America Bank Corp
2000,141,Bank Of America Corp
2000,884,PNC Financial Services Group Inc
2000,404,FNB Corp
2000,445,First Horizon National Corp
2000,605,Honesdale National Bank
2000,797,NATIONAL CITY BANK OF IN
2000,707,Lyons National Bank
2000,61,Alliance Bank NA
2000,244,Central National Bank
2000,130,Ballston Spa National Bank
2000,800,NBT Bancorp Inc
2000,1080,TCF Financial Corp
2000,262,Citigroup Inc
2000,686,Landmark Bank
2000,465,First Southern National Bank
2000,809,National Bank & Trust Co
2000,668,LCNB Corp
2000,267,Citizens First National Bank
2000,638,Intrust Bank Na
2000,264,Citizens Bank
2000,417,Farmers National Bank
2000,216,Cadence Bancorp Llc
2000,225,Canandaigua National Corp
2000,1224,Zions Bancorp
2000,777,Midland National Bank
2000,137,Bank First National
2000,272,City National Bank
2000,907,Peoples Bank
2000,738,Mars National Bank
2000,451,First National Bank TX
2000,148,Bank Of NY Mellon Corp
2000,1028,Simmons First National Corp
2000,914,Peoples Security Bank & Trust
2000,561,HUNTINGTON MTG CO
2000,611,Huntington Bancshares Inc
2000,865,Old National Bancorp
2000,452,First National Community Bancorp
2000,1120,Trustmark Corp
2000,383,Evans Bancorp Inc
2000,1139,Union Center National Bank
2000,380,Equity Bank
2000,450,First National Bank Of Long Island
2000,957,Regions Financial Corp
2000,448,First Midwest Bank
2000,125,BOK Financial Corp
2000,232,Capital One Financial Corp
2000,386,Extraco Bank
2000,312,County National Bank
2000,70,Amarillo National Bank
2000,704,Lorain National Bank
2000,477,Forest Park National Bank
2000,7,1st National Bank Of Scotia
2000,658,KeyCorp
2000,784,Money Store
2000,368,Eastern National
2000,1169,Valley National Bancorp
2000,82,American Mortgage
2000,415,Far East National Bank
2000,45,Abn Amro Holding Nv
2000,443,First Fidelity Bank
2000,287,Commerce Bancshares Inc
2000,698,Liberty National Bank
2000,699,Lincoln Bancorp
2000,595,Home State Bank
2000,1155,Unity Bancorp Inc
2000,419,Fifth Third Bancorp
2000,901,Patriot National Bank
2000,49,Adirondack Bank
2000,1119,Trustco Bancorp
2000,251,Champion Mortgage Co
2000,176,Blue Ridge Bancshares Inc
2000,900,Patriot Bank Corp
2000,604,Hometown National Bank
2000,687,Landmark Community Bank
2000,735,Malvern Federal Bancorp Inc
2000,102,Associated Bancorp
2000,764,Metlife Inc
2000,608,Horizon National Bank
2000,781,Millennium Bank
2000,1105,Toronto-Dominion Bank
2000,938,Pulaski Bank
2000,648,Johnson Financial Group
2000,286,Comerica Inc
2000,569,Harris Bancorp Inc
2000,146,Bank Of Montreal
2000,311,County Bank
2000,838,Northern Trust Corp
2000,258,Chesapeake Bank
2000,337,Deutsche Bank Ag
2000,143,Bank Of Commerce
2000,88,Amsouth Bancorp
2000,464,First Southern Bank
2000,100,Arvest Bank Group Inc
2000,874,Orrstown Bank
2000,1146,United Bankshares Inc
2000,457,First Premier Bank
2000,560,HSBC Holdings Plc
2000,289,Commercial Bank
2000,708,M&T Bank Corp
2000,138,Bank Independent
2000,379,Equitable Bank
2000,224,Canadian Imperial Bank Of Commerce
2000,1030,Sky Bank
2000,933,Provident Bank
2000,588,Hilltop Holdings Inc
2000,50,Adirondack Trust Co
2000,1204,Wesbanco Inc
2000,780,Midwest BankCentre
2000,1116,Truist Financial Corp
2000,1113,Tri-County Bank
2000,133,Banco Bilbao Vizcaya Argentaria SA
2000,1033,Solvay Bank
2000,1047,Southtrust Corp
2000,579,Heartland Bank
2000,145,Bank Of Marion
2000,228,Capital City Bank
2000,908,Peoples Bank & Trust Co
2000,1104,Tioga State Bank
2000,864,Old Kent Financial Corp
2000,87,Ameriserv Financial Inc
2000,926,Popular Inc
2000,910,Peoples Community Bank
2000,9,1st Source Bank
2000,190,CENTENNIAL MORTGAGE INC
2000,8,1st Option
2000,500,GRANITE MORTGAGE INC
2000,622,IRWIN MORTGAGE CORP
2000,963,Resource Bank
2000,459,First Republic Bank
2000,945,RBC Financial Group
2000,195,CIT Group Inc
2000,808,National Australia Bank Ltd
2000,132,BancFirst Corp
2000,1065,Sterling Bank
2000,779,Midwest Bank Na
2000,105,Associates Home Equity Services
2000,43,ASSOCIATES HOUSING FINANCE
