year,lender_id,lender_name
2004,1-0000000001,WACHOVIA BANK
2004,1-0000000008,"JP MORGAN CHASE BANK, NA"
2004,1-0000000024,"US BANK, N.A."
2004,1-0000000047,FIRST FINANCIAL BANK
2004,1-0000000191,National City Bank of the Midw
2004,1-0000000200,FLEET NATIONAL BANK
2004,1-0000000209,FIRST NATIONAL BANK OF OMAHA
2004,1-0000000325,"FNB BANK, N.A."
2004,1-0000000336,FIRST TENNESSEE BANK NA
2004,1-0000000644,THE HONESDALE NATIONAL BANK
2004,1-0000000786,NATIONAL CITY BANK
2004,1-0000000869,"National City Bank, Indiana"
2004,1-0000001090,ALLIANCE BANK NA
2004,1-0000001253,BALLSTON SPA NATIONAL BANK
2004,1-0000001316,PNC BANK NA
2004,1-0000001354,"NBT BANK, NA"
2004,1-0000001461,"CITIBANK, NA"
2004,1-0000001467,FIRST NATIONAL BANK AND TRUST
2004,1-0000001493,FIRST SOUTHERN NATIONAL BANK
2004,1-0000001741,"WELLS FARGO BANK, NA"
2004,1-0000001997,NATIONAL BANK & TRUST COMPANY
2004,1-0000002360,LEBANON CITIZENS NATIONAL BANK
2004,1-0000002413,CITIZENS FIRST NATIONAL BANK
2004,1-0000002782,INTRUST BANK N. A.
2004,1-0000003175,"CITIZENS BANK, N.A."
2004,1-0000003654,FARMERS NATIONAL BANK
2004,1-0000003656,NATIONAL BANK OF COMMERCE
2004,1-0000003817,THE CANANDAIGUA NATIONAL BANK
2004,1-0000004166,FIRST NATIONAL BANK OF ABILENE
2004,1-0000004284,CENTRAL NATIONAL BANK
2004,1-0000004341,ZIONS FIRST NATIONAL BANK
2004,1-0000004860,MIDLAND NATIONAL BANK
2004,1-0000004975,FIRST NATIONAL BANK-MANITOWOC
2004,1-0000005275,CITY NATIONAL BANK OF TAYLOR
2004,1-0000005552,"PEOPLES BANK, NATIONAL ASSOCIA"
2004,1-0000005599,THE MARS NATIONAL BANK
2004,1-0000005750,FIRST NATIONAL BANK TEXAS
2004,1-0000006301,MELLON BANK N.A.
2004,1-0000006375,FARMERS NATIONAL BANK
2004,1-0000006680,SIMMONS FIRST NATIONAL BANK
2004,1-0000007702,PEOPLES NATIONAL BANK
2004,1-0000007745,THE HUNTINGTON NATIONAL BANK
2004,1-0000008846,OLD NATIONAL BANK
2004,1-0000009868,FIRST NATIONAL COMMUNITY BANK
2004,1-0000010523,TRUSTMARK NATIONAL BANK
2004,1-0000011583,EVANS NATIONAL BANK
2004,1-0000012425,UNION CENTER NATIONAL BANK
2004,1-0000013044,"BANK OF AMERICA, N.A."
2004,1-0000013107,FIRST FINANCIAL BANK
2004,1-0000013126,THE FIRST NATIONAL BANK OF LI
2004,1-0000013349,UNION PLANTERS BANK
2004,1-0000013479,LINCOLN NATIONAL BANK
2004,1-0000013679,"BANK OF OKLAHOMA, NA"
2004,1-0000013688,HIBERNIA NATIONAL BANK
2004,1-0000013778,EXTRACO BANKS NA
2004,1-0000013998,COUNTY NATIONAL BANK
2004,1-0000014206,AMARILLO NATIONAL BANK
2004,1-0000014290,LORAIN NATONAL BANK
2004,1-0000014362,LASALLE BANK NA
2004,1-0000014680,FIRST NATIONAL BANK OF SCOTIA
2004,1-0000014695,CITY NATIONAL BANK
2004,1-0000014761,KEYBANK NATIONAL ASSOCIATION
2004,1-0000015748,EASTERN NATIONAL BANK
2004,1-0000015790,VALLEY NATIONAL BANK
2004,1-0000015817,THUMB NATIONAL MORTGAGE LLC
2004,1-0000016407,FAR EAST NATIONAL BANK
2004,1-0000016626,CENTRAL NATIONAL BANK
2004,1-0000016660,STANDARD FEDERAL BANK
2004,1-0000016883,CITY NATIONAL BANK
2004,1-0000016910,CITY NATIONAL BANK
2004,1-0000017045,"FIRST FIDELITY BANK, NA"
2004,1-0000017094,"COMMERCE BANK, NA"
2004,1-0000017174,VALLEY NATIONAL BANK
2004,1-0000017553,LIBERTY NATIONAL BANK
2004,1-0000018112,"COMMERCE BANK, N.A."
2004,1-0000018763,HOME STATE BANK N.A.
2004,1-0000021008,UNITY BANK
2004,1-0000021963,FIFTH THIRD BANK
2004,1-0000022545,PATRIOT NATIONAL BANK
2004,1-0000022559,WACHOVIA BANK OF DELAWARE
2004,1-0000022928,FARMERS NATIONAL BANK
2004,1-0000022984,"BLUE RIDGE BANK, N.A."
2004,1-0000023087,CENTRAL NATIONAL BANK
2004,1-0000023088,PATRIOT BANK N A
2004,1-0000023147,LIBERTY NATIONAL BANK
2004,1-0000023160,"CHASE MANHATTAN BANK USA, NA"
2004,1-0000023185,COUNTY NATIONAL BANK
2004,1-0000023193,LANDMARK COMMUNITY BANK NA
2004,1-0000023202,MALVERN NATIONAL BANK
2004,1-0000023216,BARRINGTON BANK & TRUST CO.
2004,1-0000023253,TCF NATIONAL BANK
2004,1-0000023446,US BANK NORTH DAKOTA
2004,1-0000023516,LIBERTY NATIONAL BANK
2004,1-0000023695,"ASSOCIATED BANK, N.A."
2004,1-0000023748,NATIONAL BANK OF KANSAS CITY
2004,1-0000023828,"MILLENNIUM BANK, N.A."
2004,1-0000023834,"CITIZENS BANK, N.A."
2004,1-0000023868,HOMETOWN NATIONAL BANK
2004,1-0000024096,BANKNORTH N.A.
2004,1-0000024141,TREASURY BANK NATIONAL ASSOC.
2004,1-0000024189,FIRST NATIONAL BANK OF ARIZONA
2004,1-0000024340,CHARTER ONE BANK
2004,1-0000024366,"CHARLES SCHWAB BANK, N.A."
2004,1-0000024378,LIBERTY NATIONAL BANK
2004,1-0000024430,"SOUTH CENTRAL BANK, N.A."
2004,1-0000024469,WEBSTER BANK NA
2004,1-0000024522,"HSBC BANK USA, NATIONAL ASSOC."
2004,1-0000024549,BEDFORD FEDERAL SAVINGS BANK
2004,2-0000001146,PULASKI BANK
2004,2-0000050957,1ST FINANCIAL BANK
2004,2-0000058243,JOHNSON BANK
2004,2-0000060143,COMERICA BANK
2004,2-0000075633,HARRIS TRUST AND SAVINGS BANK
2004,2-0000130943,IRWIN UNION BANK & TRUST
2004,2-0000147174,STERLING BANK
2004,2-0000152057,BANK OF COMMERCE
2004,2-0000191663,COUNTY BANK
2004,2-0000197478,EAST WEST BANK
2004,2-0000210434,THE NORTHERN TRUST COMPANY
2004,2-0000214722,CHESAPEAKE BANK
2004,2-0000214807,DEUTSCHE BANK TRUST COMPANY AM
2004,2-0000233031,REGIONS BANK
2004,2-0000245333,AMSOUTH BANK
2004,2-0000279338,FIRST SOUTHERN BANK
2004,2-0000311050,AMERICAN HERITAGE BANK
2004,2-0000311845,ARVEST BANK GROUP
2004,2-0000342410,ORRSTOWN BANK
2004,2-0000374653,FIRST PREMIER BANK
2004,2-0000412135,COLE TAYLOR BANK
2004,2-0000497039,COMMERCIAL BANK
