,original_name,match_name,score,match_index
0,wells fargo co,wells fargo bank na,70.57526240872608,2259
1,jp morgan chase co,jpmorgan chase bank,76.42624021346415,3350
2,us bancorp,cf bancorp,74.10159226924796,4700
3,first financial bank,first financial bank,100.0,5542
4,first of america bank corp,bank of america na,64.86844612925589,3393
5,bank of america corp,bank of america na,84.11634977849259,14655
6,pnc financial services group inc,union financial services inc,74.9619712788235,4239
7,fnb corp,fnb bank na,38.99102802904759,4401
8,first horizon national corp,horizon bank,46.05896252208032,4652
9,honesdale national bank,the honesdale national bank,88.031709536765,12384
10,national city bank of in,national city bank of indiana,90.68347769939459,1146
11,lyons national bank,the lyons national bank,85.77743924188222,8895
12,alliance bank na,alliance bank na,100.0,2252
13,central national bank,central national bank,100.0,29
14,ballston spa national bank,ballston spa national bank,100.0,4406
15,nbt bancorp inc,nbt bank na,64.65385620173251,8897
16,tcf financial corp,tcf national bank,56.613009292115244,1222
17,citigroup inc,clarity mortgage group inc,52.3183789015376,990
18,landmark bank,landmark bank,100.0,10825
19,first southern national bank,first southern national bank,100.0,13500
20,national bank trust co,national bank trust company,89.8867772210624,5311
21,lcnb corp,cnb bank,40.80211371721203,2456
22,citizens first national bank,citizens first national bank,100.0,1157
23,intrust bank na,intrust bank na,100.0,10683
24,citizens bank,citizens bank na,89.31741891653456,1159
25,farmers national bank,farmers bank,69.11400480032917,1357
26,cadence bancorp llc,cadence bank na,68.99706798067969,8905
27,canandaigua national corp,canandaigua national bank,86.68065691136522,3373
28,zions bancorp,zions bancorporation na,73.17588279367361,14651
29,midland national bank,midland national bank,100.0,9804
30,bank first national,bank first national,100.0,10690
31,city national bank,city national bank,100.0,10614
32,peoples bank,peoples bank,100.0,3380
33,mars national bank,mars national bank,100.0,8914
34,first national bank tx,first national bank trust co,85.10229394579629,3362
35,bank of ny mellon corp,bny mellon na,58.73768219096432,13173
36,simmons first national corp,simmons first national bank,87.88881370803122,8917
37,peoples security bank trust,peoples security bank trust,100.0,9076
38,huntington mtg co,huntington federal,64.7750661461672,12427
39,huntington bancshares inc,huntington national bank,69.3532352922475,13311
40,old national bancorp,old national bank,85.93124703803632,4433
41,first national community bancorp,first national community bank,92.40698229299916,4434
42,trustmark corp,trustmark national bank,56.20182070679029,10631
43,evans bancorp inc,evans bank na,69.822059382554,11554
44,union center national bank,union center national bank,100.0,4437
45,equity bank,equitable bank,75.02807675282547,7189
46,first national bank of long island,first national bank of long is,94.23700380846046,4440
47,regions financial corp,regions bank,56.41596270558155,13136
48,first midwest bank,midwest bank,72.69186564879712,208
49,bok financial corp,slm financial corp,77.35464168062003,965
50,capital one financial corp,capital one na,71.64458001244827,3398
51,extraco bank,extraco banks,94.88947090466381,1188
52,county national bank,county national bank,100.0,1218
53,amarillo national bank,amarillo national bank,100.0,1190
54,lorain national bank,lorain national bank,100.0,1191
55,forest park national bank,forest park national bank tr,94.22083144767826,5345
56,1st national bank of scotia,first national bank of scotia,86.2300696555532,1193
57,keycorp,money corpfn,44.988130860448,1101
58,money store,money corpfn,55.34316349817868,1101
59,eastern national,eastern national bank,86.88878919667113,14083
60,valley national bancorp,valley national bank,88.3346402450557,13928
61,american mortgage,american home mortgage,85.68612885782395,1111
62,far east national bank,far east national bank,100.0,6255
63,abn amro holding nv,freehold savings bank,40.38195094245834,12446
64,first fidelity bank,first fidelity bank,100.0,13884
65,commerce bancshares inc,commerce bank,68.03502635099963,2543
66,liberty national bank,liberty national bank,100.0,8912
67,lincoln bancorp,lincoln bank,79.94548542628813,3682
68,home state bank,home state bank,100.0,2438
69,unity bancorp inc,unity bank,63.211017217112385,8173
70,fifth third bancorp,fifth third bank,86.0335458783294,4500
71,patriot national bank,patriot bank,73.1914641679523,10154
72,adirondack bank,adirondack bank,100.0,6285
73,trustco bancorp,trustco bank,79.87930345017502,4819
74,champion mortgage co,hamilton mortgage company,72.27835439008246,955
75,blue ridge bancshares inc,blue ridge bank na,73.2915501719988,81
76,patriot bank corp,patriot bank,80.84182539140025,14399
77,hometown national bank,hometown bank,73.83960265206176,1348
78,landmark community bank,landmark bank,68.33744817069851,10679
79,malvern federal bancorp inc,malvern national bank,54.981178649855224,4465
80,associated bancorp,associated bank na,79.471016468719,93
81,metlife inc,metlife bank na,65.6190138909405,6269
82,horizon national bank,horizon bank,72.87803537382632,5558
83,millennium bank,millennium bank,100.0,11023
84,torontodominion bank,frontier bank,51.79896512237444,3846
85,pulaski bank,pulaski bank,100.0,3810
86,johnson financial group,johnson bank,57.02061479032431,9004
87,comerica inc,comerica bank,73.11510391683363,8835
88,harris bancorp inc,bmo harris bank na,60.72657220707488,9730
89,bank of montreal,the bank of marion,59.37004346694105,148
90,county bank,county bank,100.0,10998
91,northern trust corp,the northern trust co,80.29639760706105,9735
92,chesapeake bank,chesapeake bank,100.0,11631
93,deutsche bank ag,deutsche bank trust company,65.61180982236597,1249
94,bank of commerce,bank of commerce,100.0,8125
95,amsouth bancorp,amsouth bank,78.39705946090501,122
96,first southern bank,first southern bank,100.0,13962
97,arvest bank group inc,arvest bank group,88.13945947389826,6295
98,orrstown bank,orrstown bank,100.0,12474
99,united bankshares inc,united bank,66.89677819245694,10912
100,first premier bank,first premier bank,100.0,9012
101,hsbc holdings plc,hsbc bank usa na,39.17023372631328,13143
102,commercial bank,commercial bank,100.0,6299
103,mt bank corp,mt bank,68.55889785977917,11498
104,bank independent,bank independent,100.0,5398
105,equitable bank,equitable bank,100.0,7189
106,canadian imperial bank of commerce,bank of commerce,57.2697389108609,6315
107,sky bank,sky bank,100.0,134
108,provident bank,provident bank,100.0,11717
